Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets

0304.16:09:01.128 0304.16:09:01.128 0     192.168.0.139   48238 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:04.203 0304.16:09:04.203 0     192.168.0.139   56028 0     239.255.255.250 15600 17  0  1          63        
0304.16:05:07.147 0304.16:09:07.178 0     192.168.0.139   39462 0     192.168.0.255   15600 17  0  2          126       
0304.16:09:10.139 0304.16:09:10.139 0     192.168.0.139   44849 0     239.255.255.250 15600 17  0  1          63        
0304.16:09:13.219 0304.16:09:13.219 0     192.168.0.139   52707 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:13.928 0304.16:09:16.896 0     192.168.0.142   64478 0     239.255.255.250 1900  17  0  4          792       
0304.16:09:16.185 0304.16:09:16.185 0     192.168.0.139   33893 0     239.255.255.250 15600 17  0  1          63        
0304.16:09:19.160 0304.16:09:19.160 0     192.168.0.139   34174 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:22.128 0304.16:09:22.128 0     192.168.0.139   37215 0     239.255.255.250 15600 17  0  1          63        
0304.16:09:25.197 0304.16:09:25.197 0     192.168.0.139   55551 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:28.168 0304.16:09:28.168 0     192.168.0.139   54452 0     239.255.255.250 15600 17  0  1          63        
0304.16:09:31.131 0304.16:09:31.131 0     192.168.0.139   51642 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:34.203 0304.16:09:34.203 0     192.168.0.139   46469 0     239.255.255.250 15600 17  0  1          63        
0304.16:09:37.181 0304.16:09:37.181 0     192.168.0.139   59833 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:40.142 0304.16:09:40.142 0     192.168.0.139   57122 0     239.255.255.250 15600 17  0  1          63        
0304.16:09:43.223 0304.16:09:43.223 0     192.168.0.139   51584 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:46.192 0304.16:09:46.192 0     192.168.0.139   57788 0     239.255.255.250 15600 17  0  1          63        
0304.16:09:49.155 0304.16:09:49.155 0     192.168.0.139   36519 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:52.122 0304.16:09:52.122 0     192.168.0.139   57324 0     239.255.255.250 15600 17  0  1          63        
0304.15:41:03.733 0304.16:09:54.681 0     192.168.0.148   59190 0     239.255.255.250 1900  17  0  503        76959     
0304.16:09:55.203 0304.16:09:55.203 0     192.168.0.139   52952 0     192.168.0.255   15600 17  0  1          63        
0304.16:09:58.173 0304.16:09:58.173 0     192.168.0.139   37382 0     239.255.255.250 15600 17  0  1          63        
0304.16:09:57.960 0304.16:10:01.340 0     192.168.0.148   64124 0     239.255.255.250 1900  17  0  6          918       
0304.16:10:01.136 0304.16:10:01.136 0     192.168.0.139   33596 0     192.168.0.255   15600 17  0  1          63        
0304.16:10:04.204 0304.16:10:04.204 0     192.168.0.139   54942 0     239.255.255.250 15600 17  0  1          63        
0304.16:10:07.176 0304.16:10:07.176 0     192.168.0.139   35697 0     192.168.0.255   15600 17  0  1          63        
0304.16:10:09.735 0304.16:10:09.735 0     1.0.168.192     0     0     224.0.0.1       2304  1   0  1          46        
0304.16:10:10.146 0304.16:10:10.146 0     192.168.0.139   54952 0     239.255.255.250 15600 17  0  1          63        
0304.16:10:10.104 0304.16:10:13.108 0     192.168.0.91    52986 0     239.255.255.250 1900  17  0  4          792       
0304.16:10:13.220 0304.16:10:13.220 0     192.168.0.139   52279 0     192.168.0.255   15600 17  0  1          63        
0304.16:10:16.189 0304.16:10:16.189 0     192.168.0.139   60785 0     239.255.255.250 15600 17  0  1          63        
0304.16:10:15.266 0304.16:10:18.237 0     192.168.0.182   60859 0     239.255.255.250 1900  17  0  4          812       
0304.16:10:19.159 0304.16:10:19.159 0     192.168.0.139   42869 0     192.168.0.255   15600 17  0  1          63        
0304.16:10:22.129 0304.16:10:22.129 0     192.168.0.139   34359 0     239.255.255.250 15600 17  0  1          63        
