Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets

0306.00:34:02.967 0306.00:34:02.967 0     192.168.0.139   56919 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:05.934 0306.00:34:05.934 0     192.168.0.139   38551 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:08.907 0306.00:34:08.907 0     192.168.0.139   59562 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:11.973 0306.00:34:11.973 0     192.168.0.139   48542 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:14.938 0306.00:34:14.938 0     192.168.0.139   34415 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:17.908 0306.00:34:17.908 0     192.168.0.139   44643 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:20.981 0306.00:34:20.981 0     192.168.0.139   55264 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:23.951 0306.00:34:23.951 0     192.168.0.139   46560 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:26.920 0306.00:34:26.920 0     192.168.0.139   37944 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:29.992 0306.00:34:29.992 0     192.168.0.139   55637 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:32.962 0306.00:34:32.962 0     192.168.0.139   47366 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:35.932 0306.00:34:35.932 0     192.168.0.139   48055 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:38.907 0306.00:34:38.907 0     192.168.0.139   35409 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:41.981 0306.00:34:41.981 0     192.168.0.139   54999 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:41.775 0306.00:34:44.849 0     192.168.0.142   51748 0     239.255.255.250 1900  17  0  4          792       
0306.00:34:44.954 0306.00:34:44.954 0     192.168.0.139   45040 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:47.911 0306.00:34:47.911 0     192.168.0.139   52042 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:50.993 0306.00:34:50.993 0     192.168.0.139   51369 0     192.168.0.255   15600 17  0  1          63        
0306.00:34:53.963 0306.00:34:53.963 0     192.168.0.139   59162 0     239.255.255.250 15600 17  0  1          63        
0306.00:34:56.931 0306.00:34:56.931 0     192.168.0.139   33490 0     192.168.0.255   15600 17  0  1          63        
0306.00:35:00.004 0306.00:35:00.004 0     192.168.0.139   60183 0     239.255.255.250 15600 17  0  1          63        
0306.00:38:00.147 0306.00:38:00.147 0     192.168.0.107   41708 0     192.168.0.203   445   6   2  1          60        
0306.00:38:00.147 0306.00:38:00.147 0     192.168.0.203   445   0     192.168.0.107   41708 6   4  1          40        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.107   45560 0     192.168.0.203   135   6   2  1          60        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.203   135   0     192.168.0.107   45560 6   4  1          40        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.107   59556 0     192.168.0.203   113   6   2  1          60        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.203   113   0     192.168.0.107   59556 6   4  1          40        
0306.00:38:00.150 0306.00:38:00.172 0     192.168.0.107   53072 0     192.168.0.203   23    6   6  3          164       
0306.00:38:00.150 0306.00:38:00.172 0     192.168.0.203   23    0     192.168.0.107   53072 6   2  1          60        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.107   36476 0     192.168.0.203   3306  6   2  1          60        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.203   3306  0     192.168.0.107   36476 6   4  1          40        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.107   43042 0     192.168.0.203   993   6   2  1          60        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.203   993   0     192.168.0.107   43042 6   4  1          40        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.107   39740 0     192.168.0.203   554   6   2  1          60        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.203   554   0     192.168.0.107   39740 6   4  1          40        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.107   47682 0     192.168.0.203   199   6   2  1          60        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.203   199   0     192.168.0.107   47682 6   4  1          40        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.107   35240 0     192.168.0.203   143   6   2  1          60        
0306.00:38:00.150 0306.00:38:00.150 0     192.168.0.203   143   0     192.168.0.107   35240 6   4  1          40        
0306.00:38:00.150 0306.00:38:00.172 0     192.168.0.107   42090 0     192.168.0.203   53    6   6  3          164       
0306.00:38:00.150 0306.00:38:00.172 0     192.168.0.203   53    0     192.168.0.107   42090 6   2  1          60        
0306.00:38:00.155 0306.00:38:00.155 0     192.168.0.107   50886 0     192.168.0.203   1723  6   2  1          60        
0306.00:38:00.155 0306.00:38:00.155 0     192.168.0.203   1723  0     192.168.0.107   50886 6   4  1          40        
0306.00:38:00.156 0306.00:38:00.156 0     192.168.0.107   33206 0     192.168.0.203   3389  6   2  1          60        
0306.00:38:00.156 0306.00:38:00.156 0     192.168.0.203   3389  0     192.168.0.107   33206 6   4  1          40        
0306.00:38:00.162 0306.00:38:00.172 0     192.168.0.107   54340 0     192.168.0.203   22    6   6  3          164       
0306.00:38:00.162 0306.00:38:00.172 0     192.168.0.203   22    0     192.168.0.107   54340 6   2  1          60        
0306.00:38:00.162 0306.00:38:00.162 0     192.168.0.107   36204 0     192.168.0.203   256   6   2  1          60        
0306.00:38:00.162 0306.00:38:00.162 0     192.168.0.203   256   0     192.168.0.107   36204 6   4  1          40        
0306.00:38:00.169 0306.00:38:00.169 0     192.168.0.107   52644 0     192.168.0.203   995   6   2  1          60        
0306.00:38:00.169 0306.00:38:00.169 0     192.168.0.203   995   0     192.168.0.107   52644 6   4  1          40        
0306.00:38:00.170 0306.00:38:00.178 0     192.168.0.107   49210 0     192.168.0.203   21    6   6  3          164       
0306.00:38:00.170 0306.00:38:00.178 0     192.168.0.203   21    0     192.168.0.107   49210 6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   36286 0     192.168.0.203   443   6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   443   0     192.168.0.107   36286 6   4  1          40        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   53044 0     192.168.0.203   110   6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   110   0     192.168.0.107   53044 6   4  1          40        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   32940 0     192.168.0.203   587   6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   587   0     192.168.0.107   32940 6   4  1          40        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   44762 0     192.168.0.203   1025  6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   1025  0     192.168.0.107   44762 6   4  1          40        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   54004 0     192.168.0.203   111   6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   111   0     192.168.0.107   54004 6   4  1          40        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   39452 0     192.168.0.203   25    6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   25    0     192.168.0.107   39452 6   4  1          40        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   46848 0     192.168.0.203   139   6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   139   0     192.168.0.107   46848 6   4  1          40        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   39698 0     192.168.0.203   1720  6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   1720  0     192.168.0.107   39698 6   4  1          40        
0306.00:38:00.172 0306.00:38:00.178 0     192.168.0.107   38214 0     192.168.0.203   80    6   6  3          164       
0306.00:38:00.172 0306.00:38:00.178 0     192.168.0.203   80    0     192.168.0.107   38214 6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.107   47190 0     192.168.0.203   2995  6   2  1          60        
0306.00:38:00.172 0306.00:38:00.172 0     192.168.0.203   2995  0     192.168.0.107   47190 6   4  1          40        
0306.00:38:00.174 0306.00:38:00.174 0     192.168.0.107   32816 0     192.168.0.203   1553  6   2  1          60        
0306.00:38:00.174 0306.00:38:00.174 0     192.168.0.203   1553  0     192.168.0.107   32816 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   43914 0     192.168.0.203   3852  6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   3852  0     192.168.0.107   43914 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   40850 0     192.168.0.203   630   6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   630   0     192.168.0.107   40850 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   56998 0     192.168.0.203   4955  6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   4955  0     192.168.0.107   56998 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   53182 0     192.168.0.203   483   6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   483   0     192.168.0.107   53182 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   46710 0     192.168.0.203   1165  6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   1165  0     192.168.0.107   46710 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   40986 0     192.168.0.203   1921  6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   1921  0     192.168.0.107   40986 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   39628 0     192.168.0.203   3703  6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   3703  0     192.168.0.107   39628 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   50256 0     192.168.0.203   364   6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   364   0     192.168.0.107   50256 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   55102 0     192.168.0.203   4585  6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   4585  0     192.168.0.107   55102 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   58226 0     192.168.0.203   1802  6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   1802  0     192.168.0.107   58226 6   4  1          40        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.107   56510 0     192.168.0.203   1421  6   2  1          60        
0306.00:38:00.175 0306.00:38:00.175 0     192.168.0.203   1421  0     192.168.0.107   56510 6   4  1          40        
0306.00:38:00.178 0306.00:38:00.178 0     192.168.0.107   41136 0     192.168.0.203   2732  6   2  1          60        
