Start,End,Sif,SrcIPaddress,SrcP,DIf,DstIPaddress,DstP,P,Fl,Pkts,Octets
0416.05:22:08.288,0416.05:22:08.436,0,192.168.0.107,33246,0,18.238.85.36,443,6,7,12,1443
0416.05:22:08.911,0416.05:22:08.988,0,192.168.0.107,49124,0,23.220.73.148,443,6,7,14,1568
0416.05:21:08.027,0416.05:22:11.769,0,192.168.0.107,33120,0,151.101.66.133,443,6,7,17,2054
0416.05:21:08.795,0416.05:22:11.767,0,192.168.0.107,44350,0,184.28.252.219,443,6,7,58,4229
0416.05:21:09.708,0416.05:22:11.769,0,192.168.0.107,33368,0,199.232.152.157,443,6,7,23,2430
0416.05:21:09.728,0416.05:22:11.779,0,192.168.0.107,57540,0,23.205.193.17,443,6,7,17,2217
0416.05:21:10.151,0416.05:22:11.799,0,192.168.0.107,58560,0,104.244.42.133,443,6,7,17,2550
0416.05:21:11.454,0416.05:22:11.797,0,192.168.0.107,35902,0,104.244.42.67,443,6,7,20,2712
0416.05:21:15.665,0416.05:22:11.770,0,192.168.0.107,56528,0,23.206.5.82,443,6,7,16,2043
0416.05:21:20.006,0416.05:22:11.770,0,192.168.0.107,43032,0,199.232.154.92,443,6,7,20,2236
0416.05:21:28.993,0416.05:22:11.769,0,192.168.0.107,39052,0,199.232.155.5,443,6,7,151,20521
0416.05:21:29.571,0416.05:22:11.778,0,192.168.0.107,60748,0,23.222.171.30,443,6,7,68,5200
0416.05:21:30.209,0416.05:22:11.778,0,192.168.0.107,50988,0,104.119.72.13,443,6,7,15,1759
0416.05:21:30.748,0416.05:22:11.769,0,192.168.0.107,39108,0,199.232.155.5,443,6,7,34,3077
0416.05:21:31.154,0416.05:22:11.770,0,192.168.0.107,43616,0,199.232.154.202,443,6,7,17,2035
0416.05:21:46.550,0416.05:22:11.778,0,192.168.0.107,35380,0,209.132.243.15,443,6,3,16,3445
0416.05:21:46.827,0416.05:22:11.778,0,192.168.0.107,35384,0,209.132.243.15,443,6,3,22,5126
0416.05:21:49.646,0416.05:22:11.768,0,192.168.0.107,46184,0,199.232.153.140,443,6,7,21,2331
0416.05:21:50.350,0416.05:22:11.770,0,192.168.0.107,47000,0,199.232.152.84,443,6,7,30,2735
0416.05:21:50.527,0416.05:22:11.769,0,192.168.0.107,46216,0,199.232.153.140,443,6,7,13,1980
0416.05:21:50.777,0416.05:22:11.778,0,192.168.0.107,33388,0,31.13.70.7,443,6,7,65,5828
0416.05:21:51.675,0416.05:22:11.756,0,192.168.0.107,58544,0,184.28.253.28,443,6,7,27,3959
0416.05:21:52.336,0416.05:22:11.762,0,192.168.0.107,41026,0,157.240.11.35,443,6,7,22,3362
0416.05:21:53.305,0416.05:22:11.747,0,192.168.0.107,56340,0,23.220.73.14,443,6,7,21,2209
0416.05:21:57.614,0416.05:22:11.767,0,192.168.0.107,44640,0,151.101.1.164,443,6,7,17,1998
0416.05:21:57.713,0416.05:22:11.751,0,192.168.0.107,57824,0,199.232.153.164,443,6,7,212,20715
0416.05:21:58.228,0416.05:22:11.775,0,192.168.0.107,48636,0,52.89.31.9,443,6,7,29,7594
0416.05:21:58.256,0416.05:22:11.750,0,192.168.0.107,57844,0,199.232.153.164,443,6,7,20,3879
0416.05:21:58.259,0416.05:22:11.775,0,192.168.0.107,45104,0,34.223.148.93,443,6,7,17,2151
0416.05:22:08.064,0416.05:22:11.747,0,192.168.0.107,38712,0,199.232.154.133,443,6,7,95,11674
0416.05:22:08.554,0416.05:22:11.738,0,192.168.0.107,36262,0,23.220.73.207,443,6,7,48,5231
0416.05:22:49.779,0416.05:22:49.786,0,192.168.0.107,37330,0,192.168.0.203,21,6,6,2,84
0416.05:22:49.779,0416.05:22:49.786,0,192.168.0.107,37330,0,192.168.0.203,22,6,6,2,84
0416.05:22:49.779,0416.05:22:49.786,0,192.168.0.107,37330,0,192.168.0.203,25,6,2,1,44
0416.05:22:49.779,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,23,6,6,2,84
0416.05:22:49.780,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,7,6,2,1,44
0416.05:22:49.780,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,10,6,2,1,44
0416.05:22:49.781,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,17,6,2,1,44
0416.05:22:49.781,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,13,6,2,1,44
0416.05:22:49.781,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,12,6,2,1,44
0416.05:22:49.782,0416.05:22:49.789,0,192.168.0.107,37330,0,192.168.0.203,20,6,2,1,44
