Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0416.05:19:02.883 0416.05:19:05.854 0     192.168.0.91    55255 0     239.255.255.250 1900  17  0  4          792       
0416.05:19:03.507 0416.05:19:07.185 0     192.168.0.245   5353  0     224.0.0.251     5353  17  0  3          330       
0416.05:19:04.317 0416.05:19:07.288 0     192.168.0.164   55483 0     239.255.255.250 1900  17  0  4          812       
0416.05:19:04.730 0416.05:19:07.708 0     192.168.0.91    5353  0     224.0.0.251     5353  17  0  3          204       
0416.05:22:08.288 0416.05:22:08.436 0     18.238.85.36    443   0     192.168.0.107   33246 6   6  10         6205      
0416.05:22:08.288 0416.05:22:08.436 0     192.168.0.107   33246 0     18.238.85.36    443   6   7  12         1443      
0416.05:22:08.911 0416.05:22:08.988 0     23.220.73.148   443   0     192.168.0.107   49124 6   6  13         5909      
0416.05:22:08.911 0416.05:22:08.988 0     192.168.0.107   49124 0     23.220.73.148   443   6   7  14         1568      
0416.05:19:11.591 0416.05:19:11.591 0     192.168.0.91    138   0     192.168.0.255   138   17  0  1          229       
0416.05:21:08.027 0416.05:22:11.769 0     151.101.66.133  443   0     192.168.0.107   33120 6   3  21         6635      
0416.05:21:08.027 0416.05:22:11.769 0     192.168.0.107   33120 0     151.101.66.133  443   6   7  17         2054      
0416.05:21:08.795 0416.05:22:11.767 0     184.28.252.219  443   0     192.168.0.107   44350 6   3  69         208358    
0416.05:21:08.795 0416.05:22:11.767 0     192.168.0.107   44350 0     184.28.252.219  443   6   7  58         4229      
0416.05:21:09.708 0416.05:22:11.769 0     192.168.0.107   33368 0     199.232.152.157 443   6   7  23         2430      
0416.05:21:09.708 0416.05:22:11.769 0     199.232.152.157 443   0     192.168.0.107   33368 6   3  26         21903     
0416.05:21:09.728 0416.05:22:11.779 0     23.205.193.17   443   0     192.168.0.107   57540 6   3  18         8265      
0416.05:21:09.728 0416.05:22:11.779 0     192.168.0.107   57540 0     23.205.193.17   443   6   7  17         2217      
0416.05:21:10.151 0416.05:22:11.799 0     104.244.42.133  443   0     192.168.0.107   58560 6   3  17         5196      
0416.05:21:10.151 0416.05:22:11.799 0     192.168.0.107   58560 0     104.244.42.133  443   6   7  17         2550      
0416.05:21:11.454 0416.05:22:11.797 0     104.244.42.67   443   0     192.168.0.107   35902 6   3  18         5308      
0416.05:21:11.454 0416.05:22:11.797 0     192.168.0.107   35902 0     104.244.42.67   443   6   7  20         2712      
0416.05:21:15.665 0416.05:22:11.770 0     23.206.5.82     443   0     192.168.0.107   56528 6   3  16         5749      
0416.05:21:15.665 0416.05:22:11.770 0     192.168.0.107   56528 0     23.206.5.82     443   6   7  16         2043      
0416.05:21:20.006 0416.05:22:11.770 0     192.168.0.107   43032 0     199.232.154.92  443   6   7  20         2236      
0416.05:21:20.006 0416.05:22:11.770 0     199.232.154.92  443   0     192.168.0.107   43032 6   3  21         9980      
0416.05:21:28.993 0416.05:22:11.769 0     192.168.0.107   39052 0     199.232.155.5   443   6   7  151        20521     
0416.05:21:28.993 0416.05:22:11.769 0     199.232.155.5   443   0     192.168.0.107   39052 6   3  179        2127284   
0416.05:21:29.571 0416.05:22:11.778 0     23.222.171.30   443   0     192.168.0.107   60748 6   3  65         93474     
0416.05:21:29.571 0416.05:22:11.778 0     192.168.0.107   60748 0     23.222.171.30   443   6   7  68         5200      
0416.05:21:30.209 0416.05:22:11.778 0     104.119.72.13   443   0     192.168.0.107   50988 6   6  13         5350      
0416.05:21:30.209 0416.05:22:11.778 0     192.168.0.107   50988 0     104.119.72.13   443   6   7  15         1759      
0416.05:21:30.748 0416.05:22:11.769 0     192.168.0.107   39108 0     199.232.155.5   443   6   7  34         3077      
0416.05:21:30.748 0416.05:22:11.769 0     199.232.155.5   443   0     192.168.0.107   39108 6   3  37         58850     
0416.05:21:31.154 0416.05:22:11.770 0     192.168.0.107   43616 0     199.232.154.202 443   6   7  17         2035      
0416.05:21:31.154 0416.05:22:11.770 0     199.232.154.202 443   0     192.168.0.107   43616 6   3  19         6588      
0416.05:21:46.550 0416.05:22:11.778 0     192.168.0.107   35380 0     209.132.243.15  443   6   3  16         3445      
0416.05:21:46.550 0416.05:22:11.778 0     209.132.243.15  443   0     192.168.0.107   35380 6   7  11         8129      
0416.05:21:46.827 0416.05:22:11.778 0     192.168.0.107   35384 0     209.132.243.15  443   6   3  22         5126      
